item,mean RT,sd for RT,mean rating,sd for rating
present,2174.7,1686.2,5.8,2
preserve,1483.1,1793,3.8,2.1
preserves,3388.2,6863.2,4.4,2.3
pressure,2200.8,1989,4.4,2.3
prestige,2135.9,1855.1,3.6,1.9
presto,2019.7,1646.2,2.2,1.6
presume,1925.6,1774.2,2.4,1.9
pretend,1982.1,1437.8,3.7,2.2
pretty,1624.8,1193.7,5.2,2.2
pretzel,1048.3,521.3,6.7,0.7
prevail,2255.7,2285.2,3.3,2.3
prevent,1997.5,1478.1,3.2,2
prima,1748.5,1298.6,2.5,2.1
primal,2225.1,2333.5,3.3,2.2
primate,1677.3,1382.1,6.2,1.6
princess,1161.5,559.1,6.5,1.4
prior,2320.9,2433.3,2.6,1.8
prism,1700.9,973.7,5.8,1.7
prison,1081.3,698.4,6.8,1.1
pristine,1700.4,1149.8,2.9,2.3
private,2570.6,2602.4,3.8,2.4
privilege,1987.5,1957.1,3.5,2.1
privy,1600.2,1252.4,1.8,1.3
problem,2774.5,6607.3,4.1,2.3
proceed,2041.9,2593.3,3.2,2.4
process,3814.7,9652.2,3.2,2.1
proclaim,1572.5,956.1,4,2.3
produce,2089.9,1644.4,5.1,2.1
product,1975.5,1659,4.8,2.1
profane,2451.9,2093.2,3.7,2.2
profile,1995.9,1384.2,4.9,2.2
profit,1721.8,1292.5,4.6,2.4
profound,1852.9,1293.7,2.4,1.6
program,1533.1,1137.8,4.1,2.4
progress,1955.6,1352.2,3,2.2
project,3166.7,5311.7,4.4,2.3
promise,2301.6,2310.7,3.2,2.2
promo,2003.3,1282.3,3.6,2.1
promote,2231.2,1981.1,3.8,2
pronounce,1942.3,1227.5,3.1,2.1
pronto,2216.1,2029.8,2.7,2
propane,1889.9,1945.8,6,1.5
proper,1792.4,888.8,4,2.4
prospect,2152.6,1313,2.7,1.9
prosper,2709.9,3144.5,3.6,2
prostate,2403,2114.3,5.6,1.7
protect,2067.5,1411,4.2,2.2
protein,1408.8,663.9,5.3,2.1
protest,1754.6,1094.9,5.4,1.9
proverb,1798.6,1359.2,3.8,2.5
provide,1966.6,1434.4,3.4,2.2
province,1704.6,1217.5,3.6,2.6
provoke,2194.4,1767,3.4,2.1
provost,2013,2395.8,1.6,1.3
prowess,2191.1,1633.5,2.4,1.7
proxy,1708.6,1190.8,2.7,2.3
prudent,2160.5,1795.4,2.4,2
psychic,1968.8,1728.6,5.5,1.9
psycho,1483.5,690.7,5.8,1.5
public,1848.1,1212.7,5.2,2.4
publish,1975.5,1279.9,4.6,2.1
pudding,1564.5,899.9,6.4,1
puddle,1348.8,722,6,1.6
pudgy,1494.4,899.7,5,2.2
pulpit,1935.5,1558.3,4.3,2.7
pulsar,2148.6,2073,2,1.6
pumpkin,1255,1503,6.9,0.4
puncture,1478.6,697.5,5.5,2.3
punish,2006.5,2208.2,4.6,2.3
puny,1970.2,1144.4,3.6,2.4
pupil,1480.6,1222.4,6.1,1.8
puppet,1470.9,1595.1,6.8,0.7
puppy,1026.4,550.4,6.5,1.5
purchase,2078,1682.8,5.1,2
purple,1323.4,854.7,6.8,0.7
purpose,2253.1,2245.5,2.9,1.8
pursue,2479,2882.9,4.4,1.8
pursuit,2454,3532.8,4.3,2.2
putrid,1928.2,1416.1,3,2.2
putty,1434.4,734.9,5.6,2
puzzle,1324.5,979.2,6.6,1.4
pygmy,1753.6,988,3.6,2.6
pylon,1653.8,694.2,3.1,2.5
python,1659.4,1407.4,6.3,1.4
quadrant,1962,1415.8,4.6,2.1
quantum,2078.2,1570.4,2.1,1.7
quarrel,1486.7,747.6,4.7,2.2
quarry,1434.5,633.2,4.3,2.5
quarter,1814.7,2302.1,6.5,1.1
quartet,1784.2,1943.9,4.6,2.6
queasy,1835,1033.7,4.4,2.2
query,2111.6,1555.9,2.8,2.2
question,1493.2,1877.1,4.6,2.3
quibble,1810.9,1196.8,2.7,1.8
quiet,2270.7,1958.4,4.1,2.3
quinine,2232.1,1968.4,1.9,1.7
quota,1521.8,2535.9,3.8,2.7
rabbi,1263.5,664.5,6.4,1.5
rabbit,1073.7,717.9,6.8,1.8
rabble,1918.5,1393.7,2.9,1.9
rabid,1916.2,1309.7,3.9,2.4
raccoon,1048.1,387.1,6.7,0.6
racket,1749,1765.5,6,1.9
racy,2013.6,1811.7,3.3,2.1
radish,1247,399.9,5.8,2.1
raffle,1795.4,1220.3,4.9,1.9
rainbow,1025.9,524.5,6.8,0.5
